PRODUCT_ID,PRODUCT_CODE,PRODUCT_NAME,PRODUCT_TYPE,UNIT,UNIT_PRICE,DESCRIPTION
P182,PROD-182,フラックス入りはんだ 1mm,CONSUMABLE,meter,1,Sn63Pb37フラックス入りはんだ
P183,PROD-183,ケーブルタイ 200mm,CONSUMABLE,pack,5,ナイロン結束バンド 200mm 100本入
P184,PROD-184,熱収縮ラップ 100mm,CONSUMABLE,meter,3,PVC熱収縮チューブ 100mm
P185,PROD-185,サーマルラベル 50x30,CONSUMABLE,roll,8,感熱ラベル 50x30mm 1000枚巻
P186,PROD-186,静電防止袋 150x200,CONSUMABLE,pack,12,帯電防止袋 150x200mm 100枚入
P187,PROD-187,エアキャップ 500mm,CONSUMABLE,meter,3,気泡緩衝材 幅500mm
P188,PROD-188,段ボール箱 300mm,CONSUMABLE,piece,5,段ボール箱 300x200x150
P189,PROD-189,木製パレット 1200,CONSUMABLE,piece,25,木製パレット 1200x800mm
P190,PROD-190,真空グリス,CONSUMABLE,piece,35,シリコーン真空グリス 100g
P191,PROD-191,ねじロック剤 青,CONSUMABLE,piece,12,中強度ねじロック剤
P192,PROD-192,焼付き防止剤,CONSUMABLE,piece,18,銅系焼付き防止剤 100g
P193,PROD-193,防錆油,CONSUMABLE,liter,15,水置換型防錆油
P194,PROD-194,脱脂スプレー,CONSUMABLE,piece,8,工業用脱脂剤 500ml
P195,PROD-195,マーキングペン 白,CONSUMABLE,piece,5,工業用マーカー 白
P196,PROD-196,保護メガネ クリア,CONSUMABLE,piece,8,耐衝撃保護メガネ
P197,PROD-197,耳栓 フォーム,CONSUMABLE,pack,5,使い捨てフォーム耳栓 50組入
P198,PROD-198,防じんマスク FFP2,CONSUMABLE,box,18,FFP2防じんマスク 20枚入
P199,PROD-199,救急箱 基本セット,CONSUMABLE,set,45,職場用救急箱
P200,PROD-200,静電気防止リストストラップ,CONSUMABLE,piece,15,調整可能ESDリストストラップ
