TRANSACTION_ID,TRANSACTION_REF,ACCOUNT_ID,TRANSACTION_DATE,VALUE_DATE,TRANSACTION_TYPE,CHANNEL,AMOUNT,CURRENCY,BALANCE_AFTER,DESCRIPTION,COUNTERPARTY_NAME,MERCHANT_ID,STATUS,POSTED_BY
65,TX20260808000065,ACC000067,2026-08-08,2026-08-09,TRANSFER_OUT,MOBILE,371000,JPY,8860000,振込出金,藤田 花子,,POSTED,
66,TX20260713000066,ACC000068,2026-07-13,2026-07-13,INTEREST,MOBILE,6.0,USD,59829.17,利息,,,POSTED,EMP0023
67,TX20260329000067,ACC000069,2026-03-29,2026-03-29,CARD_PAYMENT,ONLINE,804000,JPY,-6000,カード決済,,MER0030,POSTED,EMP0008
68,TX20260702000068,ACC000070,2026-07-02,2026-07-02,INTEREST,ONLINE,650.0,JPY,6495650.0,利息,,,POSTED,
69,TX20260421000069,ACC000071,2026-04-21,2026-04-21,FEE,MOBILE,110,JPY,2944890,手数料,,,POSTED,
70,TX20260307000070,ACC000072,2026-03-07,2026-03-07,INTEREST,ATM,901.0,JPY,9012901.0,利息,,,POSTED,
71,TX20260724000071,ACC000073,2026-07-24,2026-07-24,CARD_PAYMENT,MOBILE,435000,JPY,2222000,カード決済,,MER0022,POSTED,
72,TX20260409000072,ACC000074,2026-04-09,2026-04-09,CARD_PAYMENT,MOBILE,172000,JPY,9276000,カード決済,,MER0022,POSTED,
73,TX20260815000073,ACC000075,2026-08-15,2026-08-15,WITHDRAWAL,ONLINE,234000,JPY,11427000,出金,,,POSTED,
74,TX20260407000074,ACC000076,2026-04-07,2026-04-07,FEE,MOBILE,330,JPY,2196670,手数料,,,POSTED,EMP0040
75,TX20260803000075,ACC000077,2026-08-03,2026-08-03,INTEREST,MOBILE,943.0,JPY,9431943.0,利息,,,POSTED,
76,TX20260707000076,ACC000078,2026-07-07,2026-07-07,CARD_PAYMENT,BRANCH,859000,JPY,4436000,カード決済,,MER0029,POSTED,
77,TX20260725000077,ACC000079,2026-07-25,2026-07-25,DEPOSIT,ONLINE,560000,JPY,4815000,入金,,,POSTED,
78,TX20260806000078,ACC000080,2026-08-06,2026-08-07,TRANSFER_OUT,MOBILE,885000,JPY,4733000,振込出金,斎藤 拓也,,POSTED,
79,TX20260605000079,ACC000081,2026-06-05,2026-06-05,CARD_PAYMENT,MOBILE,321000,JPY,988000,カード決済,,MER0012,POSTED,
80,TX20260726000080,ACC000082,2026-07-26,2026-07-27,TRANSFER_OUT,MOBILE,749000,JPY,10683000,振込出金,後藤 誠,,POSTED,
81,TX20260419000081,ACC000083,2026-04-19,2026-04-19,WITHDRAWAL,BRANCH,711000,JPY,8309000,出金,,,POSTED,EMP0011
82,TX20260722000082,ACC000084,2026-07-22,2026-07-22,CARD_PAYMENT,MOBILE,558000,JPY,9224000,カード決済,,MER0018,POSTED,
83,TX20260524000083,ACC000085,2026-05-24,2026-05-24,DEPOSIT,ONLINE,574000,JPY,1813000,入金,,,POSTED,
84,TX20260519000084,ACC000086,2026-05-19,2026-05-19,TRANSFER_IN,BRANCH,708000,JPY,6561000,振込入金,森 由美,,POSTED,
85,TX20260516000085,ACC000087,2026-05-16,2026-05-16,DEPOSIT,ONLINE,284000,JPY,9764000,入金,,,POSTED,
86,TX20260330000086,ACC000088,2026-03-30,2026-03-30,TRANSFER_IN,ATM,847000,JPY,10749000,振込入金,山崎 浩二,,POSTED,
87,TX20260710000087,ACC000090,2026-07-10,2026-07-10,DEPOSIT,ATM,248000,JPY,7419000,入金,,,POSTED,EMP0006
88,TX20260411000088,ACC000091,2026-04-11,2026-04-11,FEE,BRANCH,220,JPY,3170780,手数料,,,POSTED,
89,TX20260817000089,ACC000092,2026-08-17,2026-08-17,DEPOSIT,ONLINE,2027.42,USD,8341.3,入金,,,POSTED,
90,TX20260507000090,ACC000093,2026-05-07,2026-05-08,TRANSFER_OUT,MOBILE,814000,JPY,6469000,振込出金,松本 太郎,,POSTED,
91,TX20260520000091,ACC000094,2026-05-20,2026-05-20,FEE,ATM,550,JPY,6460450,手数料,,,POSTED,
92,TX20260524000092,ACC000095,2026-05-24,2026-05-24,INTEREST,MOBILE,445.0,JPY,4454445.0,利息,,,POSTED,
93,TX20260823000093,ACC000096,2026-08-23,2026-08-24,TRANSFER_OUT,ONLINE,367.3,USD,18476.57,振込出金,山田 大輔,,POSTED,
94,TX20260518000094,ACC000097,2026-05-18,2026-05-18,CARD_PAYMENT,ONLINE,40000,JPY,1162000,カード決済,,MER0016,POSTED,
95,TX20260829000095,ACC000098,2026-08-29,2026-08-29,DEPOSIT,MOBILE,507000,JPY,3643000,入金,,,POSTED,
96,TX20260329000096,ACC000099,2026-03-29,2026-03-29,WITHDRAWAL,MOBILE,471000,JPY,8264000,出金,,,POSTED,
97,TX20260613000097,ACC000100,2026-06-13,2026-06-13,CARD_PAYMENT,MOBILE,548000,JPY,4892000,カード決済,,MER0008,POSTED,
98,TX20260507000098,ACC000101,2026-05-07,2026-05-07,INTEREST,ONLINE,42.0,JPY,423042.0,利息,,,POSTED,
99,TX20260531000099,ACC000102,2026-05-31,2026-05-31,WITHDRAWAL,MOBILE,410000,JPY,5169000,出金,,,POSTED,
100,TX20260418000100,ACC000103,2026-04-18,2026-04-18,FEE,ONLINE,220,USD,10617.26,手数料,,,POSTED,
101,TX20260506000101,ACC000104,2026-05-06,2026-05-06,WITHDRAWAL,BRANCH,542000,JPY,6892000,出金,,,POSTED,
102,TX20260415000102,ACC000105,2026-04-15,2026-04-15,DEPOSIT,ONLINE,476000,JPY,5389000,入金,,,POSTED,
103,TX20260430000103,ACC000106,2026-04-30,2026-04-30,CARD_PAYMENT,BRANCH,2918.38,USD,15355.38,カード決済,,MER0006,POSTED,
104,TX20260823000104,ACC000107,2026-08-23,2026-08-23,CARD_PAYMENT,MOBILE,391000,JPY,3313000,カード決済,,MER0020,POSTED,
105,TX20260419000105,ACC000108,2026-04-19,2026-04-19,WITHDRAWAL,ATM,369000,JPY,6722000,出金,,,POSTED,
106,TX20260813000106,ACC000109,2026-08-13,2026-08-13,TRANSFER_IN,MOBILE,3000,JPY,9386000,振込入金,佐々木 直樹,,POSTED,EMP0023
107,TX20260517000107,ACC000110,2026-05-17,2026-05-18,TRANSFER_OUT,BRANCH,108000,JPY,2311000,振込出金,佐々木 健一,,POSTED,
108,TX20260518000108,ACC000111,2026-05-18,2026-05-18,WITHDRAWAL,BRANCH,270000,JPY,8362000,出金,,,POSTED,EMP0017
109,TX20260808000109,ACC000113,2026-08-08,2026-08-09,TRANSFER_OUT,ONLINE,37000,JPY,11521000,振込出金,山口 花子,,POSTED,
110,TX20260331000110,ACC000114,2026-03-31,2026-04-01,TRANSFER_OUT,ONLINE,449000,JPY,1008000,振込出金,中村 由美,,POSTED,
111,TX20260425000111,ACC000115,2026-04-25,2026-04-25,TRANSFER_IN,ONLINE,491000,JPY,11080000,振込入金,前田 結衣,,POSTED,EMP0008
112,TX20260506000112,ACC000116,2026-05-06,2026-05-06,WITHDRAWAL,BRANCH,495000,JPY,3169000,出金,,,POSTED,
113,TX20260430000113,ACC000117,2026-04-30,2026-04-30,INTEREST,MOBILE,543.0,JPY,5427543.0,利息,,,POSTED,
114,TX20260611000114,ACC000118,2026-06-11,2026-06-11,FEE,ATM,110,JPY,8100890,手数料,,,POSTED,
115,TX20260426000115,ACC000119,2026-04-26,2026-04-26,FEE,ONLINE,330,JPY,4326670,手数料,,,POSTED,
116,TX20260811000116,ACC000120,2026-08-11,2026-08-12,TRANSFER_OUT,MOBILE,7000,JPY,464000,振込出金,山田 直樹,,POSTED,
117,TX20260611000117,ACC000121,2026-06-11,2026-06-11,WITHDRAWAL,MOBILE,281000,JPY,66008000,出金,,,POSTED,
118,TX20260313000118,ACC000122,2026-03-13,2026-03-14,TRANSFER_OUT,MOBILE,531000,JPY,46790000,振込出金,山本 直樹,,POSTED,
119,TX20260801000119,ACC000123,2026-08-01,2026-08-02,TRANSFER_OUT,BRANCH,132000,JPY,19520000,振込出金,田中 由美,,POSTED,EMP0029
120,TX20260629000120,ACC000124,2026-06-29,2026-06-29,CARD_PAYMENT,ONLINE,94000,JPY,36869000,カード決済,,MER0018,POSTED,
121,TX20260809000121,ACC000125,2026-08-09,2026-08-09,INTEREST,MOBILE,5676.0,JPY,56767676.0,利息,,,POSTED,
122,TX20260708000122,ACC000126,2026-07-08,2026-07-08,WITHDRAWAL,MOBILE,540000,JPY,34992000,出金,,,POSTED,
123,TX20260312000123,ACC000127,2026-03-12,2026-03-12,WITHDRAWAL,ONLINE,587000,JPY,28030000,出金,,,POSTED,
124,TX20260820000124,ACC000128,2026-08-20,2026-08-20,CARD_PAYMENT,BRANCH,169000,JPY,75811000,カード決済,,MER0014,POSTED,
125,TX20260831000125,ACC000129,2026-08-31,2026-08-31,WITHDRAWAL,MOBILE,421000,JPY,70917000,出金,,,POSTED,
126,TX20260603000126,ACC000130,2026-06-03,2026-06-03,DEPOSIT,ATM,31000,JPY,6818000,入金,,,POSTED,
127,TX20260330000127,ACC000131,2026-03-30,2026-03-30,FEE,ATM,330,JPY,59510670,手数料,,,POSTED,
128,TX20260618000128,ACC000132,2026-06-18,2026-06-18,DEPOSIT,MOBILE,485000,JPY,1815000,入金,,,POSTED,
129,TX20260427000129,ACC000133,2026-04-27,2026-04-27,DEPOSIT,ONLINE,495000,JPY,2417000,入金,,,POSTED,EMP0010
130,TX20260525000130,ACC000134,2026-05-25,2026-05-25,TRANSFER_IN,MOBILE,357000,JPY,2145000,振込入金,林 裕子,,POSTED,EMP0010
131,TX20260829000131,ACC000135,2026-08-29,2026-08-30,TRANSFER_OUT,MOBILE,648000,JPY,6164000,振込出金,小川 裕子,,POSTED,EMP0001
132,TX20260713000132,ACC000136,2026-07-13,2026-07-13,INTEREST,ONLINE,1001.0,JPY,10012001.0,利息,,,POSTED,
133,TX20260615000133,ACC000137,2026-06-15,2026-06-15,DEPOSIT,BRANCH,610000,JPY,1160000,入金,,,POSTED,EMP0016
134,TX20260705000134,ACC000138,2026-07-05,2026-07-05,FEE,ATM,550,JPY,2621450,手数料,,,POSTED,
135,TX20260318000135,ACC000139,2026-03-18,2026-03-18,CARD_PAYMENT,ATM,1019.78,USD,-241.81,カード決済,,MER0019,POSTED,EMP0001
136,TX20260720000136,ACC000140,2026-07-20,2026-07-21,TRANSFER_OUT,MOBILE,782000,JPY,4260000,振込出金,小川 さくら,,POSTED,
137,TX20260426000137,ACC000141,2026-04-26,2026-04-26,TRANSFER_IN,MOBILE,622000,JPY,6315000,振込入金,中村 結衣,,POSTED,
138,TX20260713000138,ACC000142,2026-07-13,2026-07-13,DEPOSIT,ATM,345000,JPY,4108000,入金,,,POSTED,EMP0015
139,TX20260331000139,ACC000143,2026-03-31,2026-03-31,FEE,ONLINE,330,JPY,9425670,手数料,,,POSTED,
140,TX20260815000140,ACC000144,2026-08-15,2026-08-15,FEE,MOBILE,220,JPY,2506780,手数料,,,POSTED,EMP0019
141,TX20260727000141,ACC000145,2026-07-27,2026-07-27,WITHDRAWAL,BRANCH,191000,JPY,6074000,出金,,,POSTED,
142,TX20260803000142,ACC000146,2026-08-03,2026-08-03,FEE,ONLINE,550,JPY,11502450,手数料,,,POSTED,
143,TX20260611000143,ACC000147,2026-06-11,2026-06-11,FEE,ONLINE,330,JPY,5763670,手数料,,,POSTED,
144,TX20260326000144,ACC000148,2026-03-26,2026-03-26,DEPOSIT,BRANCH,240000,JPY,11003000,入金,,,POSTED,EMP0015
145,TX20260405000145,ACC000149,2026-04-05,2026-04-05,INTEREST,BRANCH,495.0,JPY,4946495.0,利息,,,POSTED,EMP0040
146,TX20260316000146,ACC000150,2026-03-16,2026-03-16,INTEREST,ONLINE,209.0,JPY,2091209.0,利息,,,POSTED,
147,TX20260812000147,ACC000151,2026-08-12,2026-08-12,FEE,ATM,110,JPY,6998890,手数料,,,POSTED,EMP0032
148,TX20260517000148,ACC000152,2026-05-17,2026-05-18,TRANSFER_OUT,MOBILE,144000,JPY,7677000,振込出金,佐々木 悠斗,,POSTED,
149,TX20260329000149,ACC000153,2026-03-29,2026-03-29,TRANSFER_IN,ONLINE,105000,JPY,9395000,振込入金,鈴木 大輔,,POSTED,
150,TX20260709000150,ACC000154,2026-07-09,2026-07-09,FEE,ONLINE,220,JPY,5352780,手数料,,,POSTED,
151,TX20260809000151,ACC000155,2026-08-09,2026-08-09,TRANSFER_IN,MOBILE,748000,JPY,5306000,振込入金,小林 愛,,POSTED,
152,TX20260812000152,ACC000156,2026-08-12,2026-08-12,WITHDRAWAL,MOBILE,23000,JPY,8508000,出金,,,POSTED,
153,TX20260317000153,ACC000157,2026-03-17,2026-03-17,DEPOSIT,BRANCH,654000,JPY,3577000,入金,,,POSTED,
154,TX20260318000154,ACC000158,2026-03-18,2026-03-18,TRANSFER_IN,ONLINE,466000,JPY,1689000,振込入金,後藤 翔,,POSTED,EMP0013
155,TX20260421000155,ACC000159,2026-04-21,2026-04-22,TRANSFER_OUT,ONLINE,456000,JPY,9597000,振込出金,石川 健一,,POSTED,
156,TX20260830000156,ACC000160,2026-08-30,2026-08-31,TRANSFER_OUT,BRANCH,824.23,USD,2633.42,振込出金,佐々木 結衣,,POSTED,
157,TX20260816000157,ACC000161,2026-08-16,2026-08-16,INTEREST,MOBILE,201.0,JPY,2007201.0,利息,,,POSTED,
158,TX20260328000158,ACC000162,2026-03-28,2026-03-28,CARD_PAYMENT,MOBILE,288000,JPY,10618000,カード決済,,MER0020,POSTED,EMP0007
159,TX20260320000159,ACC000163,2026-03-20,2026-03-20,INTEREST,ATM,220.0,JPY,2200220.0,利息,,,POSTED,
160,TX20260612000160,ACC000164,2026-06-12,2026-06-12,FEE,ONLINE,330,JPY,11797670,手数料,,,POSTED,
161,TX20260514000161,ACC000165,2026-05-14,2026-05-14,WITHDRAWAL,MOBILE,634000,JPY,8631000,出金,,,POSTED,EMP0009
162,TX20260325000162,ACC000166,2026-03-25,2026-03-25,CARD_PAYMENT,ONLINE,791000,JPY,5292000,カード決済,,MER0014,POSTED,
163,TX20260828000163,ACC000167,2026-08-28,2026-08-28,WITHDRAWAL,ONLINE,155000,JPY,9767000,出金,,,POSTED,
164,TX20260327000164,ACC000168,2026-03-27,2026-03-27,CARD_PAYMENT,ATM,528000,JPY,2161000,カード決済,,MER0022,POSTED,
165,TX20260403000165,ACC000169,2026-04-03,2026-04-04,TRANSFER_OUT,ONLINE,101000,JPY,4879000,振込出金,小川 太郎,,POSTED,EMP0034
166,TX20260731000166,ACC000170,2026-07-31,2026-07-31,INTEREST,ONLINE,3.0,USD,26871.79,利息,,,POSTED,
167,TX20260720000167,ACC000171,2026-07-20,2026-07-20,TRANSFER_IN,MOBILE,752000,JPY,10122000,振込入金,山崎 浩二,,POSTED,EMP0015
168,TX20260415000168,ACC000172,2026-04-15,2026-04-15,CARD_PAYMENT,ATM,674000,JPY,4678000,カード決済,,MER0019,POSTED,
169,TX20260528000169,ACC000173,2026-05-28,2026-05-28,FEE,ATM,330,JPY,2418670,手数料,,,POSTED,
170,TX20260827000170,ACC000174,2026-08-27,2026-08-27,INTEREST,BRANCH,2.0,USD,17808.93,利息,,,POSTED,EMP0015
171,TX20260501000171,ACC000175,2026-05-01,2026-05-01,WITHDRAWAL,BRANCH,683000,JPY,1892000,出金,,,POSTED,
172,TX20260625000172,ACC000176,2026-06-25,2026-06-25,FEE,ATM,110,JPY,2459890,手数料,,,POSTED,
173,TX20260709000173,ACC000178,2026-07-09,2026-07-09,CARD_PAYMENT,ONLINE,574000,JPY,3971000,カード決済,,MER0010,POSTED,
174,TX20260710000174,ACC000179,2026-07-10,2026-07-10,INTEREST,BRANCH,399.0,JPY,3992399.0,利息,,,POSTED,
175,TX20260730000175,ACC000180,2026-07-30,2026-07-30,FEE,ONLINE,220,JPY,2784780,手数料,,,POSTED,EMP0039
176,TX20260504000176,ACC000181,2026-05-04,2026-05-04,WITHDRAWAL,MOBILE,460000,JPY,90000,出金,,,POSTED,
177,TX20260317000177,ACC000182,2026-03-17,2026-03-17,TRANSFER_IN,ONLINE,688000,JPY,11278000,振込入金,吉田 裕子,,POSTED,
178,TX20260411000178,ACC000183,2026-04-11,2026-04-11,DEPOSIT,ONLINE,701000,JPY,8180000,入金,,,POSTED,
179,TX20260609000179,ACC000184,2026-06-09,2026-06-10,TRANSFER_OUT,ONLINE,702000,JPY,223000,振込出金,山崎 花子,,POSTED,
180,TX20260614000180,ACC000185,2026-06-14,2026-06-14,TRANSFER_IN,ONLINE,711000,JPY,7202000,振込入金,小川 翔,,POSTED,
181,TX20260805000181,ACC000186,2026-08-05,2026-08-06,TRANSFER_OUT,ATM,412000,JPY,-90000,振込出金,森 悠斗,,POSTED,
182,TX20260620000182,ACC000187,2026-06-20,2026-06-20,INTEREST,MOBILE,437.0,JPY,4366437.0,利息,,,POSTED,
183,TX20260327000183,ACC000188,2026-03-27,2026-03-27,FEE,MOBILE,550,JPY,9075450,手数料,,,POSTED,
184,TX20260327000184,ACC000189,2026-03-27,2026-03-28,TRANSFER_OUT,MOBILE,84000,JPY,4608000,振込出金,渡辺 拓也,,POSTED,
185,TX20260711000185,ACC000190,2026-07-11,2026-07-11,FEE,ONLINE,550,JPY,5183450,手数料,,,POSTED,
186,TX20260401000186,ACC000191,2026-04-01,2026-04-01,DEPOSIT,ATM,227000,JPY,4773000,入金,,,POSTED,EMP0003
187,TX20260422000187,ACC000192,2026-04-22,2026-04-22,DEPOSIT,ONLINE,163000,JPY,9696000,入金,,,POSTED,
188,TX20260330000188,ACC000193,2026-03-30,2026-03-30,FEE,ONLINE,110,USD,55827.52,手数料,,,POSTED,
189,TX20260609000189,ACC000194,2026-06-09,2026-06-09,INTEREST,ONLINE,255.0,JPY,2551255.0,利息,,,POSTED,EMP0022
190,TX20260607000190,ACC000195,2026-06-07,2026-06-07,INTEREST,MOBILE,941.0,JPY,9407941.0,利息,,,POSTED,
191,TX20260421000191,ACC000196,2026-04-21,2026-04-21,TRANSFER_IN,ONLINE,417000,JPY,3620000,振込入金,田中 健一,,POSTED,
192,TX20260505000192,ACC000197,2026-05-05,2026-05-05,DEPOSIT,ATM,2212.64,USD,47063.49,入金,,,POSTED,
193,TX20260501000193,ACC000198,2026-05-01,2026-05-01,TRANSFER_IN,MOBILE,251000,JPY,4530000,振込入金,佐藤 陽子,,POSTED,
