AUTH_ID,CARD_ID,MERCHANT_ID,AUTH_DATE,AMOUNT,CURRENCY,AUTH_CODE,RESULT,DECLINE_REASON,IS_SETTLED
68,CARD000071,MER0028,2026-07-20,67200,JPY,186561,APPROVED,,0
69,CARD000072,MER0014,2026-07-12,227400,JPY,495210,APPROVED,,1
70,CARD000073,MER0028,2026-05-08,137300,JPY,772797,DECLINED,暗証番号相違,0
71,CARD000074,MER0020,2026-07-03,202300,JPY,974739,APPROVED,,1
72,CARD000075,MER0028,2026-07-07,80900,JPY,165990,APPROVED,,0
73,CARD000076,MER0006,2026-05-16,124000,JPY,703115,APPROVED,,1
74,CARD000077,MER0003,2026-06-09,187400,JPY,160077,APPROVED,,1
75,CARD000078,MER0028,2026-06-28,197000,JPY,792775,APPROVED,,0
76,CARD000079,MER0020,2026-07-22,132600,JPY,835976,APPROVED,,0
77,CARD000080,MER0012,2026-06-10,145600,JPY,208269,APPROVED,,1
78,CARD000081,MER0029,2026-05-18,63000,JPY,425728,APPROVED,,1
79,CARD000082,MER0014,2026-06-20,94500,JPY,811868,APPROVED,,1
80,CARD000083,MER0018,2026-08-18,239000,JPY,591639,APPROVED,,0
81,CARD000084,MER0022,2026-07-20,56800,JPY,389253,APPROVED,,0
82,CARD000085,MER0010,2026-05-09,85800,JPY,191848,APPROVED,,1
83,CARD000086,MER0017,2026-05-22,132100,JPY,241708,APPROVED,,1
84,CARD000087,MER0020,2026-07-21,36800,JPY,956956,APPROVED,,1
85,CARD000088,MER0002,2026-07-27,51500,JPY,209817,APPROVED,,0
86,CARD000089,MER0026,2026-08-23,105800,JPY,669041,APPROVED,,1
87,CARD000090,MER0001,2026-05-14,249800,JPY,439964,APPROVED,,0
88,CARD000001,MER0011,2026-07-24,234000,JPY,885257,APPROVED,,0
89,CARD000002,MER0011,2026-06-01,209600,JPY,648783,APPROVED,,1
90,CARD000003,MER0028,2026-08-01,132100,JPY,121783,APPROVED,,0
91,CARD000004,MER0014,2026-07-29,155800,JPY,111134,APPROVED,,1
92,CARD000006,MER0005,2026-07-17,59500,JPY,892660,APPROVED,,1
93,CARD000007,MER0014,2026-08-31,187500,JPY,300142,DECLINED,暗証番号相違,0
94,CARD000008,MER0027,2026-06-22,210600,JPY,761384,APPROVED,,1
95,CARD000009,MER0012,2026-06-22,160000,JPY,179008,APPROVED,,1
96,CARD000010,MER0013,2026-05-31,65700,JPY,730801,APPROVED,,1
97,CARD000011,MER0010,2026-05-29,29900,JPY,800798,APPROVED,,1
98,CARD000012,MER0027,2026-06-23,84800,JPY,713024,APPROVED,,1
99,CARD000013,MER0022,2026-08-15,103900,JPY,905019,APPROVED,,1
100,CARD000014,MER0017,2026-05-05,248300,JPY,214883,APPROVED,,1
101,CARD000015,MER0017,2026-08-01,233000,JPY,484208,APPROVED,,1
102,CARD000016,MER0014,2026-08-29,58100,JPY,287393,APPROVED,,1
103,CARD000017,MER0021,2026-05-04,110200,JPY,943524,APPROVED,,1
104,CARD000018,MER0026,2026-06-03,145100,JPY,930480,APPROVED,,0
105,CARD000019,MER0013,2026-06-09,176700,JPY,330471,APPROVED,,1
106,CARD000020,MER0017,2026-07-07,231000,JPY,476762,APPROVED,,0
107,CARD000021,MER0024,2026-05-19,110000,JPY,469725,APPROVED,,1
108,CARD000022,MER0017,2026-07-07,69500,JPY,722573,APPROVED,,1
109,CARD000023,MER0011,2026-08-25,92300,JPY,176056,APPROVED,,0
110,CARD000025,MER0029,2026-07-06,181300,JPY,788893,APPROVED,,1
111,CARD000026,MER0012,2026-05-22,191400,JPY,296588,APPROVED,,1
112,CARD000027,MER0023,2026-05-21,192700,JPY,889016,APPROVED,,1
113,CARD000028,MER0003,2026-05-09,105900,JPY,993215,APPROVED,,1
114,CARD000029,MER0001,2026-08-09,94300,JPY,797403,APPROVED,,0
115,CARD000030,MER0001,2026-05-13,167600,JPY,385103,APPROVED,,1
116,CARD000031,MER0021,2026-09-01,221500,JPY,207258,DECLINED,与信限度額超過,0
117,CARD000032,MER0013,2026-06-30,112100,JPY,594735,APPROVED,,1
118,CARD000033,MER0014,2026-06-13,62200,JPY,225110,APPROVED,,1
119,CARD000034,MER0013,2026-05-31,167700,JPY,882508,APPROVED,,1
120,CARD000035,MER0025,2026-05-10,27000,JPY,136908,APPROVED,,1
121,CARD000036,MER0007,2026-06-23,244700,JPY,509910,APPROVED,,1
122,CARD000037,MER0010,2026-06-30,38400,JPY,579687,APPROVED,,1
123,CARD000038,MER0022,2026-05-10,29600,JPY,669960,APPROVED,,1
124,CARD000039,MER0026,2026-06-11,37600,JPY,791711,APPROVED,,1
125,CARD000040,MER0024,2026-07-16,197400,JPY,985885,APPROVED,,1
126,CARD000041,MER0003,2026-07-05,24500,JPY,136472,APPROVED,,1
127,CARD000042,MER0009,2026-07-03,49200,JPY,815514,APPROVED,,1
128,CARD000043,MER0022,2026-08-10,93200,JPY,884755,APPROVED,,1
129,CARD000044,MER0027,2026-06-25,111100,JPY,937203,APPROVED,,1
130,CARD000045,MER0024,2026-08-12,24500,JPY,707360,APPROVED,,1
131,CARD000046,MER0009,2026-06-26,68100,JPY,602035,APPROVED,,1
132,CARD000047,MER0006,2026-05-17,117500,JPY,903440,APPROVED,,1
133,CARD000048,MER0013,2026-06-29,67100,JPY,531907,APPROVED,,0
134,CARD000049,MER0004,2026-05-29,22300,JPY,659527,APPROVED,,1
135,CARD000050,MER0029,2026-05-24,71700,JPY,229158,APPROVED,,0
136,CARD000051,MER0030,2026-06-07,231800,JPY,424072,APPROVED,,1
137,CARD000052,MER0028,2026-07-15,162700,JPY,276850,APPROVED,,1
138,CARD000053,MER0015,2026-06-24,85500,JPY,141960,APPROVED,,1
139,CARD000054,MER0014,2026-05-31,176600,JPY,671033,DECLINED,与信限度額超過,0
140,CARD000055,MER0025,2026-06-28,12300,JPY,845466,APPROVED,,0
141,CARD000056,MER0009,2026-06-01,30500,JPY,574157,APPROVED,,1
142,CARD000057,MER0029,2026-05-04,86400,JPY,680108,APPROVED,,1
143,CARD000058,MER0013,2026-05-15,134800,JPY,809249,APPROVED,,0
144,CARD000059,MER0010,2026-07-23,175800,JPY,968616,APPROVED,,1
145,CARD000060,MER0009,2026-08-28,34100,JPY,324333,APPROVED,,1
146,CARD000061,MER0023,2026-06-23,180300,JPY,143051,APPROVED,,1
147,CARD000063,MER0010,2026-09-01,145300,JPY,143107,APPROVED,,1
148,CARD000064,MER0004,2026-07-24,8000,JPY,731548,APPROVED,,1
149,CARD000065,MER0017,2026-08-27,165000,JPY,840150,APPROVED,,0
150,CARD000066,MER0022,2026-07-24,25200,JPY,546517,APPROVED,,1
151,CARD000067,MER0007,2026-07-11,181300,JPY,942030,APPROVED,,0
152,CARD000068,MER0018,2026-08-16,154300,JPY,432522,APPROVED,,1
153,CARD000069,MER0008,2026-05-25,24700,JPY,515093,APPROVED,,1
154,CARD000070,MER0021,2026-08-28,234000,JPY,486401,APPROVED,,1
155,CARD000071,MER0017,2026-06-06,39900,JPY,981994,APPROVED,,1
156,CARD000072,MER0029,2026-08-23,44400,JPY,340794,APPROVED,,1
157,CARD000073,MER0021,2026-05-05,248500,JPY,884086,APPROVED,,1
158,CARD000074,MER0001,2026-07-16,179400,JPY,735379,APPROVED,,1
159,CARD000075,MER0027,2026-07-10,97000,JPY,218532,APPROVED,,1
160,CARD000076,MER0018,2026-08-22,50800,JPY,622105,APPROVED,,1
161,CARD000077,MER0027,2026-05-05,42100,JPY,117418,APPROVED,,1
162,CARD000078,MER0002,2026-08-28,110700,JPY,476021,DECLINED,与信限度額超過,0
163,CARD000079,MER0020,2026-08-07,246800,JPY,381712,APPROVED,,1
164,CARD000080,MER0024,2026-08-22,163900,JPY,185253,APPROVED,,1
165,CARD000081,MER0019,2026-05-30,179500,JPY,146633,APPROVED,,1
166,CARD000082,MER0014,2026-07-01,128900,JPY,501063,APPROVED,,1
167,CARD000083,MER0011,2026-05-15,238300,JPY,931202,APPROVED,,1
168,CARD000084,MER0021,2026-06-07,77100,JPY,951923,APPROVED,,1
169,CARD000085,MER0029,2026-05-18,119800,JPY,488023,APPROVED,,1
170,CARD000086,MER0017,2026-05-21,12400,JPY,132646,APPROVED,,0
171,CARD000087,MER0024,2026-07-01,229900,JPY,101428,APPROVED,,1
172,CARD000088,MER0023,2026-06-15,122200,JPY,557926,APPROVED,,0
173,CARD000089,MER0024,2026-06-02,17000,JPY,979122,APPROVED,,0
174,CARD000090,MER0004,2026-07-26,99900,JPY,900315,APPROVED,,0
175,CARD000001,MER0020,2026-05-28,174800,JPY,589311,APPROVED,,1
176,CARD000002,MER0016,2026-06-21,214800,JPY,744994,APPROVED,,1
177,CARD000003,MER0018,2026-06-28,112200,JPY,350032,APPROVED,,0
178,CARD000004,MER0020,2026-05-31,216700,JPY,235976,APPROVED,,1
179,CARD000006,MER0014,2026-05-14,20400,JPY,390295,APPROVED,,1
180,CARD000007,MER0021,2026-08-13,61700,JPY,611415,APPROVED,,0
181,CARD000008,MER0025,2026-08-08,165900,JPY,588714,APPROVED,,1
182,CARD000009,MER0019,2026-07-23,85200,JPY,623328,APPROVED,,1
183,CARD000010,MER0029,2026-08-30,134000,JPY,763436,APPROVED,,0
184,CARD000011,MER0006,2026-06-05,15600,JPY,453153,APPROVED,,1
185,CARD000012,MER0024,2026-05-28,222700,JPY,841101,DECLINED,与信限度額超過,0
186,CARD000013,MER0001,2026-08-29,206800,JPY,811475,APPROVED,,1
187,CARD000014,MER0015,2026-06-13,218800,JPY,225706,APPROVED,,1
188,CARD000015,MER0001,2026-06-24,36800,JPY,897972,APPROVED,,0
189,CARD000016,MER0025,2026-06-14,180200,JPY,531350,APPROVED,,1
190,CARD000017,MER0002,2026-06-01,86800,JPY,746127,APPROVED,,1
191,CARD000018,MER0012,2026-08-21,84100,JPY,150765,APPROVED,,0
192,CARD000019,MER0024,2026-05-10,63900,JPY,378823,APPROVED,,1
193,CARD000020,MER0024,2026-05-23,56700,JPY,551637,APPROVED,,1
194,CARD000021,MER0008,2026-05-24,146800,JPY,356214,APPROVED,,1
195,CARD000022,MER0002,2026-07-16,160500,JPY,632938,APPROVED,,0
196,CARD000023,MER0029,2026-05-17,8900,JPY,371326,APPROVED,,1
197,CARD000025,MER0028,2026-06-24,173700,JPY,233277,APPROVED,,1
198,CARD000026,MER0022,2026-07-22,160800,JPY,545640,APPROVED,,1
199,CARD000027,MER0027,2026-07-18,32600,JPY,744652,APPROVED,,1
200,CARD000028,MER0024,2026-07-28,47600,JPY,805069,APPROVED,,1
201,CARD000029,MER0011,2026-08-23,9600,JPY,750427,APPROVED,,1
202,CARD000030,MER0027,2026-08-29,89600,JPY,269986,APPROVED,,1
203,CARD000031,MER0023,2026-05-18,119900,JPY,389401,APPROVED,,0
204,CARD000032,MER0005,2026-06-20,249000,JPY,168816,APPROVED,,1
205,CARD000033,MER0008,2026-05-08,108700,JPY,635589,APPROVED,,1
206,CARD000034,MER0021,2026-08-14,4300,JPY,680434,APPROVED,,1
207,CARD000035,MER0029,2026-05-22,188000,JPY,836413,APPROVED,,1
208,CARD000036,MER0009,2026-06-22,12300,JPY,755823,DECLINED,カード無効,0
209,CARD000037,MER0004,2026-08-24,85000,JPY,767965,APPROVED,,1
210,CARD000038,MER0006,2026-08-25,72200,JPY,485845,APPROVED,,0
211,CARD000039,MER0019,2026-08-26,40700,JPY,247825,APPROVED,,1
212,CARD000040,MER0023,2026-06-18,192200,JPY,323190,APPROVED,,1
213,CARD000041,MER0014,2026-07-13,208000,JPY,705074,APPROVED,,1
214,CARD000042,MER0011,2026-06-30,212800,JPY,131844,APPROVED,,1
215,CARD000043,MER0002,2026-05-24,113700,JPY,440021,APPROVED,,1
216,CARD000044,MER0016,2026-07-07,153200,JPY,199675,APPROVED,,1
217,CARD000045,MER0029,2026-07-27,190200,JPY,290624,APPROVED,,1
218,CARD000046,MER0009,2026-07-10,64200,JPY,577233,APPROVED,,0
219,CARD000047,MER0019,2026-08-09,123700,JPY,771090,APPROVED,,0
220,CARD000048,MER0006,2026-07-25,4000,JPY,259577,APPROVED,,1
221,CARD000049,MER0011,2026-06-20,190200,JPY,793874,APPROVED,,1
222,CARD000050,MER0025,2026-06-11,121200,JPY,581959,APPROVED,,1
223,CARD000051,MER0018,2026-05-24,79800,JPY,707219,APPROVED,,0
224,CARD000052,MER0030,2026-06-26,28000,JPY,589463,APPROVED,,1
225,CARD000053,MER0001,2026-07-30,238600,JPY,325996,APPROVED,,1
226,CARD000054,MER0005,2026-06-03,163400,JPY,806961,APPROVED,,1
227,CARD000055,MER0030,2026-05-26,145000,JPY,407230,APPROVED,,1
228,CARD000056,MER0011,2026-05-28,75900,JPY,205528,APPROVED,,1
229,CARD000057,MER0019,2026-06-02,114400,JPY,784520,APPROVED,,0
230,CARD000058,MER0024,2026-07-02,77800,JPY,105903,APPROVED,,1
231,CARD000059,MER0023,2026-05-30,140000,JPY,950035,DECLINED,暗証番号相違,0
232,CARD000060,MER0026,2026-08-14,129200,JPY,685805,APPROVED,,0
233,CARD000061,MER0001,2026-09-01,238900,JPY,154333,APPROVED,,1
234,CARD000063,MER0018,2026-07-30,51300,JPY,592277,APPROVED,,1
235,CARD000064,MER0018,2026-06-10,151700,JPY,454917,APPROVED,,1
236,CARD000065,MER0016,2026-07-13,55500,JPY,523172,APPROVED,,1
237,CARD000066,MER0029,2026-06-01,102500,JPY,167770,APPROVED,,1
238,CARD000067,MER0026,2026-06-13,245800,JPY,658694,APPROVED,,0
239,CARD000068,MER0028,2026-06-07,207600,JPY,991874,APPROVED,,1
240,CARD000069,MER0025,2026-05-27,700,JPY,992615,APPROVED,,1
241,CARD000070,MER0012,2026-08-15,2500,JPY,911859,APPROVED,,1
242,CARD000071,MER0030,2026-08-31,72400,JPY,469351,APPROVED,,0
243,CARD000072,MER0019,2026-06-27,149500,JPY,933556,APPROVED,,0
244,CARD000073,MER0010,2026-08-23,43300,JPY,848945,APPROVED,,1
245,CARD000074,MER0029,2026-07-25,33300,JPY,292047,APPROVED,,1
246,CARD000075,MER0016,2026-06-27,37500,JPY,212329,APPROVED,,0
247,CARD000076,MER0030,2026-08-03,238800,JPY,820941,APPROVED,,0
248,CARD000077,MER0009,2026-06-08,82200,JPY,433270,APPROVED,,1
249,CARD000078,MER0028,2026-07-26,105000,JPY,795502,APPROVED,,1
250,CARD000079,MER0028,2026-06-20,94300,JPY,124959,APPROVED,,1
