HISTORY_ID,ACCOUNT_ID,AS_OF_DATE,OPENING_BALANCE,CLOSING_BALANCE,DEBIT_TOTAL,CREDIT_TOTAL,CURRENCY
73,ACC000020,2026-09-01,11508000,11495000,122000,109000,JPY
74,ACC000020,2026-08-01,11507000,11508000,149000,150000,JPY
75,ACC000020,2026-07-01,11130000,11507000,2000,379000,JPY
76,ACC000020,2026-06-01,10937000,11130000,243000,436000,JPY
77,ACC000021,2026-09-01,10670000,10649000,52000,31000,JPY
78,ACC000021,2026-08-01,10502000,10670000,243000,411000,JPY
79,ACC000021,2026-07-01,10586000,10502000,370000,286000,JPY
80,ACC000021,2026-06-01,10926000,10586000,362000,22000,JPY
81,ACC000022,2026-09-01,11771000,11545000,302000,76000,JPY
82,ACC000022,2026-08-01,11631000,11771000,299000,439000,JPY
83,ACC000022,2026-07-01,11502000,11631000,289000,418000,JPY
84,ACC000022,2026-06-01,11397000,11502000,182000,287000,JPY
85,ACC000023,2026-09-01,1957000,1844000,178000,65000,JPY
86,ACC000023,2026-08-01,1840000,1957000,319000,436000,JPY
87,ACC000023,2026-07-01,2148000,1840000,359000,51000,JPY
88,ACC000023,2026-06-01,2093000,2148000,314000,369000,JPY
89,ACC000024,2026-09-01,18554.44,18699.34,181.62,326.52,USD
90,ACC000024,2026-08-01,18369.53,18554.44,1565.66,1750.57,USD
91,ACC000024,2026-07-01,18840.83,18369.53,764.38,293.08,USD
92,ACC000024,2026-06-01,19517.16,18840.83,716.77,40.44,USD
93,ACC000025,2026-09-01,2478000,2567000,312000,401000,JPY
94,ACC000025,2026-08-01,2327000,2478000,279000,430000,JPY
95,ACC000025,2026-07-01,2300000,2327000,303000,330000,JPY
96,ACC000025,2026-06-01,2274000,2300000,244000,270000,JPY
97,ACC000026,2026-09-01,6453000,6551000,254000,352000,JPY
98,ACC000026,2026-08-01,6066000,6453000,80000,467000,JPY
99,ACC000026,2026-07-01,5659000,6066000,43000,450000,JPY
100,ACC000026,2026-06-01,5335000,5659000,161000,485000,JPY
101,ACC000027,2026-09-01,6427000,6490000,244000,307000,JPY
102,ACC000027,2026-08-01,6197000,6427000,116000,346000,JPY
103,ACC000027,2026-07-01,6525000,6197000,389000,61000,JPY
104,ACC000027,2026-06-01,6704000,6525000,354000,175000,JPY
105,ACC000028,2026-09-01,11944000,11643000,360000,59000,JPY
106,ACC000028,2026-08-01,12255000,11944000,344000,33000,JPY
107,ACC000028,2026-07-01,11949000,12255000,183000,489000,JPY
108,ACC000028,2026-06-01,11910000,11949000,235000,274000,JPY
109,ACC000029,2026-09-01,45405.2,46095.57,414.09,1104.46,USD
110,ACC000029,2026-08-01,47143.75,45405.2,1877.48,138.93,USD
111,ACC000029,2026-07-01,47202.16,47143.75,1681.56,1623.15,USD
112,ACC000029,2026-06-01,48013.61,47202.16,1836.47,1025.02,USD
113,ACC000030,2026-09-01,1388000,1304000,219000,135000,JPY
114,ACC000030,2026-08-01,1240000,1388000,101000,249000,JPY
115,ACC000030,2026-07-01,1394000,1240000,349000,195000,JPY
116,ACC000030,2026-06-01,1380000,1394000,328000,342000,JPY
117,ACC000031,2026-09-01,6883.35,7501.96,282.9,901.51,USD
118,ACC000031,2026-08-01,7711.5,6883.35,1900.27,1072.12,USD
119,ACC000031,2026-07-01,5608.56,7711.5,250.59,2353.53,USD
120,ACC000031,2026-06-01,4714.49,5608.56,1234.67,2128.74,USD
121,ACC000032,2026-09-01,8014000,8085000,14000,85000,JPY
122,ACC000032,2026-08-01,8192000,8014000,389000,211000,JPY
123,ACC000032,2026-07-01,8133000,8192000,219000,278000,JPY
124,ACC000032,2026-06-01,7765000,8133000,23000,391000,JPY
125,ACC000033,2026-09-01,9134000,9176000,285000,327000,JPY
126,ACC000033,2026-08-01,8912000,9134000,73000,295000,JPY
127,ACC000033,2026-07-01,8933000,8912000,119000,98000,JPY
128,ACC000033,2026-06-01,8761000,8933000,243000,415000,JPY
129,ACC000034,2026-09-01,4773000,4910000,171000,308000,JPY
130,ACC000034,2026-08-01,4642000,4773000,303000,434000,JPY
131,ACC000034,2026-07-01,4541000,4642000,349000,450000,JPY
132,ACC000034,2026-06-01,4435000,4541000,62000,168000,JPY
133,ACC000035,2026-09-01,3605000,3346000,271000,12000,JPY
134,ACC000035,2026-08-01,3699000,3605000,152000,58000,JPY
135,ACC000035,2026-07-01,3731000,3699000,68000,36000,JPY
136,ACC000035,2026-06-01,3839000,3731000,189000,81000,JPY
137,ACC000036,2026-09-01,10016000,9952000,134000,70000,JPY
138,ACC000036,2026-08-01,10023000,10016000,368000,361000,JPY
139,ACC000036,2026-07-01,9736000,10023000,58000,345000,JPY
140,ACC000036,2026-06-01,9344000,9736000,67000,459000,JPY
141,ACC000037,2026-09-01,2120000,2443000,92000,415000,JPY
142,ACC000037,2026-08-01,2190000,2120000,295000,225000,JPY
143,ACC000037,2026-07-01,2207000,2190000,371000,354000,JPY
144,ACC000037,2026-06-01,2033000,2207000,99000,273000,JPY
145,ACC000038,2026-09-01,5120000,5332000,69000,281000,JPY
146,ACC000038,2026-08-01,5061000,5120000,161000,220000,JPY
147,ACC000038,2026-07-01,4971000,5061000,370000,460000,JPY
148,ACC000038,2026-06-01,5066000,4971000,127000,32000,JPY
149,ACC000039,2026-09-01,45463.25,47195.17,131.53,1863.45,USD
150,ACC000039,2026-08-01,46156.76,45463.25,1085.73,392.22,USD
151,ACC000039,2026-07-01,45602.22,46156.76,1873.45,2427.99,USD
152,ACC000039,2026-06-01,45277.32,45602.22,1053.73,1378.63,USD
153,ACC000040,2026-09-01,534000,566000,359000,391000,JPY
154,ACC000040,2026-08-01,593000,534000,260000,201000,JPY
155,ACC000040,2026-07-01,488000,593000,292000,397000,JPY
156,ACC000040,2026-06-01,603000,488000,368000,253000,JPY
157,ACC000042,2026-09-01,2855000,2803000,90000,38000,JPY
158,ACC000042,2026-08-01,2626000,2855000,216000,445000,JPY
159,ACC000042,2026-07-01,2728000,2626000,210000,108000,JPY
160,ACC000042,2026-06-01,2797000,2728000,242000,173000,JPY
161,ACC000043,2026-09-01,1754000,1989000,103000,338000,JPY
162,ACC000043,2026-08-01,1957000,1754000,208000,5000,JPY
163,ACC000043,2026-07-01,1888000,1957000,334000,403000,JPY
164,ACC000043,2026-06-01,1757000,1888000,37000,168000,JPY
165,ACC000044,2026-09-01,8882000,9244000,74000,436000,JPY
166,ACC000044,2026-08-01,8756000,8882000,55000,181000,JPY
167,ACC000044,2026-07-01,8623000,8756000,284000,417000,JPY
168,ACC000044,2026-06-01,8334000,8623000,162000,451000,JPY
169,ACC000045,2026-09-01,7153000,7411000,100000,358000,JPY
170,ACC000045,2026-08-01,7420000,7153000,319000,52000,JPY
171,ACC000045,2026-07-01,7581000,7420000,207000,46000,JPY
172,ACC000045,2026-06-01,7700000,7581000,211000,92000,JPY
173,ACC000046,2026-09-01,11064000,11041000,342000,319000,JPY
174,ACC000046,2026-08-01,11296000,11064000,240000,8000,JPY
175,ACC000046,2026-07-01,11341000,11296000,269000,224000,JPY
176,ACC000046,2026-06-01,10916000,11341000,18000,443000,JPY
177,ACC000047,2026-09-01,6097000,5998000,238000,139000,JPY
178,ACC000047,2026-08-01,6120000,6097000,121000,98000,JPY
179,ACC000047,2026-07-01,6051000,6120000,157000,226000,JPY
180,ACC000047,2026-06-01,5616000,6051000,10000,445000,JPY
181,ACC000048,2026-09-01,3920000,3858000,78000,16000,JPY
182,ACC000048,2026-08-01,3930000,3920000,233000,223000,JPY
183,ACC000048,2026-07-01,3933000,3930000,368000,365000,JPY
184,ACC000048,2026-06-01,3459000,3933000,12000,486000,JPY
185,ACC000049,2026-09-01,4021000,3901000,281000,161000,JPY
186,ACC000049,2026-08-01,4362000,4021000,382000,41000,JPY
187,ACC000049,2026-07-01,4389000,4362000,391000,364000,JPY
188,ACC000049,2026-06-01,4357000,4389000,317000,349000,JPY
189,ACC000050,2026-09-01,1311000,1005000,338000,32000,JPY
190,ACC000050,2026-08-01,996000,1311000,133000,448000,JPY
191,ACC000050,2026-07-01,1083000,996000,337000,250000,JPY
192,ACC000050,2026-06-01,1073000,1083000,207000,217000,JPY
193,ACC000051,2026-09-01,9922000,9779000,341000,198000,JPY
194,ACC000051,2026-08-01,9925000,9922000,120000,117000,JPY
195,ACC000051,2026-07-01,9620000,9925000,137000,442000,JPY
196,ACC000051,2026-06-01,9549000,9620000,236000,307000,JPY
197,ACC000052,2026-09-01,8754000,9098000,94000,438000,JPY
198,ACC000052,2026-08-01,8662000,8754000,70000,162000,JPY
199,ACC000052,2026-07-01,8582000,8662000,93000,173000,JPY
200,ACC000052,2026-06-01,8828000,8582000,271000,25000,JPY
201,ACC000053,2026-09-01,1884000,1910000,324000,350000,JPY
202,ACC000053,2026-08-01,1522000,1884000,14000,376000,JPY
203,ACC000053,2026-07-01,1639000,1522000,366000,249000,JPY
204,ACC000053,2026-06-01,1433000,1639000,64000,270000,JPY
205,ACC000054,2026-09-01,8771000,8718000,150000,97000,JPY
206,ACC000054,2026-08-01,8473000,8771000,16000,314000,JPY
207,ACC000054,2026-07-01,8458000,8473000,332000,347000,JPY
208,ACC000054,2026-06-01,8592000,8458000,191000,57000,JPY
209,ACC000055,2026-09-01,18637.95,18284.28,776.36,422.69,USD
210,ACC000055,2026-08-01,19238.15,18637.95,1113.05,512.85,USD
211,ACC000055,2026-07-01,17720.09,19238.15,136.0,1654.06,USD
212,ACC000055,2026-06-01,16829.82,17720.09,340.12,1230.39,USD
213,ACC000056,2026-09-01,10594000,10704000,156000,266000,JPY
214,ACC000056,2026-08-01,10742000,10594000,158000,10000,JPY
215,ACC000056,2026-07-01,10586000,10742000,173000,329000,JPY
216,ACC000056,2026-06-01,10509000,10586000,21000,98000,JPY
217,ACC000057,2026-09-01,7487000,7231000,347000,91000,JPY
218,ACC000057,2026-08-01,7558000,7487000,97000,26000,JPY
219,ACC000057,2026-07-01,7607000,7558000,370000,321000,JPY
220,ACC000057,2026-06-01,7553000,7607000,324000,378000,JPY
221,ACC000058,2026-09-01,10730000,10648000,341000,259000,JPY
222,ACC000058,2026-08-01,10620000,10730000,46000,156000,JPY
223,ACC000058,2026-07-01,10442000,10620000,230000,408000,JPY
224,ACC000058,2026-06-01,10562000,10442000,172000,52000,JPY
225,ACC000059,2026-09-01,407000,441000,344000,378000,JPY
226,ACC000059,2026-08-01,441000,407000,113000,79000,JPY
227,ACC000059,2026-07-01,383000,441000,134000,192000,JPY
228,ACC000059,2026-06-01,367000,383000,51000,67000,JPY
229,ACC000060,2026-09-01,10699000,10718000,230000,249000,JPY
230,ACC000060,2026-08-01,10471000,10699000,229000,457000,JPY
231,ACC000060,2026-07-01,10194000,10471000,201000,478000,JPY
232,ACC000060,2026-06-01,10140000,10194000,89000,143000,JPY
233,ACC000061,2026-09-01,4324000,4255000,315000,246000,JPY
234,ACC000061,2026-08-01,4021000,4324000,178000,481000,JPY
235,ACC000061,2026-07-01,4047000,4021000,180000,154000,JPY
236,ACC000061,2026-06-01,3790000,4047000,31000,288000,JPY
237,ACC000062,2026-09-01,4911000,4888000,126000,103000,JPY
238,ACC000062,2026-08-01,4968000,4911000,389000,332000,JPY
239,ACC000062,2026-07-01,4919000,4968000,353000,402000,JPY
240,ACC000062,2026-06-01,5126000,4919000,374000,167000,JPY
241,ACC000063,2026-09-01,10015000,9987000,203000,175000,JPY
242,ACC000063,2026-08-01,10231000,10015000,313000,97000,JPY
243,ACC000063,2026-07-01,10448000,10231000,367000,150000,JPY
244,ACC000063,2026-06-01,10181000,10448000,209000,476000,JPY
245,ACC000064,2026-09-01,4929000,5101000,231000,403000,JPY
246,ACC000064,2026-08-01,4798000,4929000,6000,137000,JPY
247,ACC000064,2026-07-01,5075000,4798000,327000,50000,JPY
248,ACC000064,2026-06-01,4857000,5075000,121000,339000,JPY
249,ACC000065,2026-09-01,2397000,2394000,134000,131000,JPY
250,ACC000065,2026-08-01,2418000,2397000,218000,197000,JPY
251,ACC000065,2026-07-01,2454000,2418000,289000,253000,JPY
252,ACC000065,2026-06-01,2455000,2454000,89000,88000,JPY
253,ACC000066,2026-09-01,9399000,9281000,151000,33000,JPY
254,ACC000066,2026-08-01,9361000,9399000,81000,119000,JPY
255,ACC000066,2026-07-01,9281000,9361000,316000,396000,JPY
256,ACC000066,2026-06-01,9206000,9281000,304000,379000,JPY
257,ACC000067,2026-09-01,9200000,9231000,182000,213000,JPY
258,ACC000067,2026-08-01,9034000,9200000,95000,261000,JPY
259,ACC000067,2026-07-01,8796000,9034000,128000,366000,JPY
260,ACC000067,2026-06-01,8919000,8796000,228000,105000,JPY
261,ACC000068,2026-09-01,58035.74,59823.17,271.38,2058.81,USD
262,ACC000068,2026-08-01,56991.47,58035.74,1149.82,2194.09,USD
263,ACC000068,2026-07-01,55426.24,56991.47,193.92,1759.15,USD
264,ACC000068,2026-06-01,56736.02,55426.24,1439.35,129.57,USD
265,ACC000069,2026-09-01,656000,798000,127000,269000,JPY
266,ACC000069,2026-08-01,217000,656000,37000,476000,JPY
267,ACC000069,2026-07-01,492000,217000,275000,0,JPY
268,ACC000069,2026-06-01,373000,492000,94000,213000,JPY
269,ACC000070,2026-09-01,6485000,6495000,246000,256000,JPY
270,ACC000070,2026-08-01,6377000,6485000,386000,494000,JPY
271,ACC000070,2026-07-01,6577000,6377000,245000,45000,JPY
272,ACC000070,2026-06-01,6616000,6577000,199000,160000,JPY
273,ACC000071,2026-09-01,2752000,2945000,97000,290000,JPY
274,ACC000071,2026-08-01,2691000,2752000,330000,391000,JPY
275,ACC000071,2026-07-01,2615000,2691000,289000,365000,JPY
276,ACC000071,2026-06-01,2525000,2615000,72000,162000,JPY
277,ACC000072,2026-09-01,9092000,9012000,185000,105000,JPY
278,ACC000072,2026-08-01,8989000,9092000,134000,237000,JPY
279,ACC000072,2026-07-01,8616000,8989000,71000,444000,JPY
280,ACC000072,2026-06-01,8452000,8616000,130000,294000,JPY
281,ACC000073,2026-09-01,2431000,2657000,158000,384000,JPY
282,ACC000073,2026-08-01,2457000,2431000,259000,233000,JPY
283,ACC000073,2026-07-01,2321000,2457000,252000,388000,JPY
284,ACC000073,2026-06-01,2287000,2321000,45000,79000,JPY
285,ACC000074,2026-09-01,9618000,9448000,390000,220000,JPY
286,ACC000074,2026-08-01,9656000,9618000,321000,283000,JPY
287,ACC000074,2026-07-01,9601000,9656000,123000,178000,JPY
288,ACC000074,2026-06-01,9465000,9601000,211000,347000,JPY
289,ACC000075,2026-09-01,11513000,11661000,313000,461000,JPY
290,ACC000075,2026-08-01,11520000,11513000,291000,284000,JPY
291,ACC000075,2026-07-01,11123000,11520000,4000,401000,JPY
292,ACC000075,2026-06-01,10877000,11123000,191000,437000,JPY
293,ACC000076,2026-09-01,2000000,2197000,32000,229000,JPY
294,ACC000076,2026-08-01,2041000,2000000,68000,27000,JPY
295,ACC000076,2026-07-01,1948000,2041000,180000,273000,JPY
296,ACC000076,2026-06-01,2104000,1948000,305000,149000,JPY
297,ACC000077,2026-09-01,9314000,9431000,267000,384000,JPY
298,ACC000077,2026-08-01,9258000,9314000,13000,69000,JPY
299,ACC000077,2026-07-01,9327000,9258000,253000,184000,JPY
300,ACC000077,2026-06-01,8914000,9327000,18000,431000,JPY
301,ACC000078,2026-09-01,5160000,5295000,143000,278000,JPY
302,ACC000078,2026-08-01,5234000,5160000,358000,284000,JPY
303,ACC000078,2026-07-01,5237000,5234000,293000,290000,JPY
304,ACC000078,2026-06-01,5059000,5237000,224000,402000,JPY
305,ACC000079,2026-09-01,4160000,4255000,263000,358000,JPY
306,ACC000079,2026-08-01,4303000,4160000,375000,232000,JPY
307,ACC000079,2026-07-01,4456000,4303000,224000,71000,JPY
308,ACC000079,2026-06-01,4688000,4456000,297000,65000,JPY
309,ACC000080,2026-09-01,5856000,5618000,264000,26000,JPY
310,ACC000080,2026-08-01,5812000,5856000,1000,45000,JPY
311,ACC000080,2026-07-01,5690000,5812000,274000,396000,JPY
312,ACC000080,2026-06-01,5412000,5690000,40000,318000,JPY
313,ACC000081,2026-09-01,1195000,1309000,236000,350000,JPY
314,ACC000081,2026-08-01,927000,1195000,1000,269000,JPY
315,ACC000081,2026-07-01,924000,927000,29000,32000,JPY
316,ACC000081,2026-06-01,968000,924000,66000,22000,JPY
317,ACC000082,2026-09-01,11100000,11432000,16000,348000,JPY
318,ACC000082,2026-08-01,11181000,11100000,340000,259000,JPY
319,ACC000082,2026-07-01,10955000,11181000,242000,468000,JPY
320,ACC000082,2026-06-01,10830000,10955000,160000,285000,JPY
321,ACC000083,2026-09-01,9252000,9020000,399000,167000,JPY
322,ACC000083,2026-08-01,9055000,9252000,130000,327000,JPY
323,ACC000083,2026-07-01,8935000,9055000,269000,389000,JPY
324,ACC000083,2026-06-01,8815000,8935000,216000,336000,JPY
325,ACC000084,2026-09-01,9551000,9782000,90000,321000,JPY
326,ACC000084,2026-08-01,9543000,9551000,179000,187000,JPY
327,ACC000084,2026-07-01,9711000,9543000,230000,62000,JPY
328,ACC000084,2026-06-01,9773000,9711000,162000,100000,JPY
329,ACC000085,2026-09-01,1452000,1239000,388000,175000,JPY
330,ACC000085,2026-08-01,1625000,1452000,281000,108000,JPY
331,ACC000085,2026-07-01,1499000,1625000,215000,341000,JPY
332,ACC000085,2026-06-01,1471000,1499000,112000,140000,JPY
333,ACC000086,2026-09-01,5802000,5853000,345000,396000,JPY
334,ACC000086,2026-08-01,5603000,5802000,75000,274000,JPY
335,ACC000086,2026-07-01,5676000,5603000,234000,161000,JPY
336,ACC000086,2026-06-01,5708000,5676000,390000,358000,JPY
337,ACC000087,2026-09-01,9448000,9480000,57000,89000,JPY
338,ACC000087,2026-08-01,9229000,9448000,10000,229000,JPY
339,ACC000087,2026-07-01,9197000,9229000,64000,96000,JPY
340,ACC000087,2026-06-01,8987000,9197000,262000,472000,JPY
341,ACC000088,2026-09-01,9764000,9902000,319000,457000,JPY
342,ACC000088,2026-08-01,9925000,9764000,254000,93000,JPY
343,ACC000088,2026-07-01,10209000,9925000,333000,49000,JPY
344,ACC000088,2026-06-01,10269000,10209000,94000,34000,JPY
345,ACC000090,2026-09-01,7031000,7171000,218000,358000,JPY
346,ACC000090,2026-08-01,6698000,7031000,94000,427000,JPY
347,ACC000090,2026-07-01,6651000,6698000,289000,336000,JPY
348,ACC000090,2026-06-01,6541000,6651000,198000,308000,JPY
349,ACC000091,2026-09-01,2844000,3171000,20000,347000,JPY
350,ACC000091,2026-08-01,2853000,2844000,346000,337000,JPY
351,ACC000091,2026-07-01,2999000,2853000,180000,34000,JPY
352,ACC000091,2026-06-01,3237000,2999000,267000,29000,JPY
353,ACC000092,2026-09-01,5066.02,6313.88,1064.79,2312.65,USD
354,ACC000092,2026-08-01,5377.75,5066.02,820.32,508.59,USD
355,ACC000092,2026-07-01,5448.82,5377.75,670.61,599.54,USD
356,ACC000092,2026-06-01,6029.44,5448.82,1112.63,532.01,USD
357,ACC000093,2026-09-01,7294000,7283000,321000,310000,JPY
358,ACC000093,2026-08-01,7303000,7294000,144000,135000,JPY
359,ACC000093,2026-07-01,7133000,7303000,184000,354000,JPY
360,ACC000093,2026-06-01,7324000,7133000,242000,51000,JPY
361,ACC000094,2026-09-01,6427000,6461000,270000,304000,JPY
362,ACC000094,2026-08-01,6026000,6427000,13000,414000,JPY
363,ACC000094,2026-07-01,6131000,6026000,355000,250000,JPY
364,ACC000094,2026-06-01,5995000,6131000,110000,246000,JPY
365,ACC000095,2026-09-01,4296000,4454000,106000,264000,JPY
366,ACC000095,2026-08-01,4318000,4296000,61000,39000,JPY
367,ACC000095,2026-07-01,4007000,4318000,76000,387000,JPY
368,ACC000095,2026-06-01,4211000,4007000,336000,132000,JPY
369,ACC000096,2026-09-01,19207.2,18843.87,1392.67,1029.34,USD
370,ACC000096,2026-08-01,19014.11,19207.2,608.31,801.4,USD
371,ACC000096,2026-07-01,19201.76,19014.11,190.16,2.51,USD
372,ACC000096,2026-06-01,18941.79,19201.76,1140.16,1400.13,USD
373,ACC000097,2026-09-01,1096000,1202000,83000,189000,JPY
374,ACC000097,2026-08-01,910000,1096000,44000,230000,JPY
375,ACC000097,2026-07-01,752000,910000,52000,210000,JPY
376,ACC000097,2026-06-01,559000,752000,211000,404000,JPY
377,ACC000098,2026-09-01,2907000,3136000,140000,369000,JPY
378,ACC000098,2026-08-01,2582000,2907000,113000,438000,JPY
379,ACC000098,2026-07-01,2480000,2582000,367000,469000,JPY
380,ACC000098,2026-06-01,2518000,2480000,397000,359000,JPY
381,ACC000099,2026-09-01,8631000,8735000,94000,198000,JPY
382,ACC000099,2026-08-01,8695000,8631000,315000,251000,JPY
383,ACC000099,2026-07-01,8893000,8695000,315000,117000,JPY
384,ACC000099,2026-06-01,9070000,8893000,238000,61000,JPY
385,ACC000100,2026-09-01,5277000,5440000,121000,284000,JPY
386,ACC000100,2026-08-01,5344000,5277000,289000,222000,JPY
387,ACC000100,2026-07-01,5553000,5344000,288000,79000,JPY
388,ACC000100,2026-06-01,5513000,5553000,242000,282000,JPY
389,ACC000101,2026-09-01,617000,423000,347000,153000,JPY
390,ACC000101,2026-08-01,213000,617000,38000,442000,JPY
391,ACC000101,2026-07-01,362000,213000,329000,180000,JPY
392,ACC000101,2026-06-01,614000,362000,386000,134000,JPY
393,ACC000102,2026-09-01,5466000,5579000,310000,423000,JPY
394,ACC000102,2026-08-01,5159000,5466000,65000,372000,JPY
395,ACC000102,2026-07-01,5049000,5159000,193000,303000,JPY
396,ACC000102,2026-06-01,4822000,5049000,153000,380000,JPY
397,ACC000103,2026-09-01,10827.99,10837.26,1136.58,1145.85,USD
398,ACC000103,2026-08-01,11318.07,10827.99,791.02,300.94,USD
399,ACC000103,2026-07-01,10417.68,11318.07,1518.09,2418.48,USD
400,ACC000103,2026-06-01,9943.99,10417.68,1342.49,1816.18,USD
